0	0	0.717473	0.696586
1	1	0.482205	0.876058
2	2	-0.127518	-0.991836
3	3	-0.488159	0.872755
4	4	-0.98968	0.143298
5	5	-0.899859	-0.436181
6	6	-0.278816	-0.960344
7	7	0.857503	0.514478
8	8	-0.556778	-0.830661
9	9	0.828785	-0.559567
10	10	-0.69137	0.722501
11	11	0.517489	-0.85569
12	12	0.162934	-0.986637
13	13	0.991194	0.132421
14	14	0.490951	0.871187
15	15	-0.898197	-0.439593
16	16	-0.182645	0.983179
17	17	-0.958776	-0.284163
18	18	0.994097	0.108496
19	19	-0.866511	-0.499159
20	20	0.918643	0.395088
21	21	0.029236	-0.999573
22	22	0.105631	0.994405
23	23	0.34881	0.937194
24	24	-0.999094	0.0425475
25	25	0.0379884	-0.999278
26	26	-0.991421	0.130705
27	27	-0.99935	0.0360596
28	28	-0.0495759	0.99877
29	29	0.067379	0.997727
30	30	-0.98434	0.176281
31	31	-0.861008	-0.508592
